Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
42	22	Female	Right	B	08/09/2017	08:25:15	1	Prova	produce	prode	4	756	1
42	22	Female	Right	B	08/09/2017	08:25:15	2	Prova	ricordo	rico	4	669	1
42	22	Female	Right	B	08/09/2017	08:25:15	3	Prova	ribelle	ribes	4	720	1
42	22	Female	Right	B	08/09/2017	08:25:15	4	Prova	prostata	prosta	4	1133	1
42	22	Female	Right	B	08/09/2017	08:25:15	5	Prova	dedotto	potto	4	670	1
42	22	Female	Right	B	08/09/2017	08:25:15	6	Prova2	prelato	lato	4	548	2
42	22	Female	Right	B	08/09/2017	08:25:15	7	Prova2	ripiano	piano	4	448	2
42	22	Female	Right	B	08/09/2017	08:25:15	8	Prova2	prefitto	fitto	4	656	2
42	22	Female	Right	B	08/09/2017	08:25:15	9	Prova2	distratto	abbo	4	728	1
42	22	Female	Right	B	08/09/2017	08:25:15	1	Warmup	rituale	pigiama	5	473	2
42	22	Female	Right	B	08/09/2017	08:25:15	2	Warmup	globale	glole	5	649	1
42	22	Female	Right	B	08/09/2017	08:25:15	3	Warmup	operaio	opera	5	569	2
42	22	Female	Right	B	08/09/2017	08:25:15	4	Warmup	privato	spugo	5	865	1
42	22	Female	Right	B	08/09/2017	08:25:15	5	Warmup	pugnal	pugn	5	554	1
42	22	Female	Right	B	08/09/2017	08:25:15	1	TrialPrimaParte	indolenza	indole	1	502	2
42	22	Female	Right	B	08/09/2017	08:25:15	2	TrialPrimaParte	pittore	regia	0	417	2
42	22	Female	Right	B	08/09/2017	08:25:15	3	TrialPrimaParte	usabile	piame	2	411	2
42	22	Female	Right	B	08/09/2017	08:25:15	4	TrialPrimaParte	finalista	finava	2	644	1
42	22	Female	Right	B	08/09/2017	08:25:15	5	TrialPrimaParte	papaia	pama	2	946	1
42	22	Female	Right	B	08/09/2017	08:25:15	6	TrialPrimaParte	bacillo	mafu	2	562	1
42	22	Female	Right	B	08/09/2017	08:25:15	7	TrialPrimaParte	museruola	museo	1	537	2
42	22	Female	Right	B	08/09/2017	08:25:15	8	TrialPrimaParte	squallido	squalo	1	634	2
42	22	Female	Right	B	08/09/2017	08:25:15	9	TrialPrimaParte	copioso	copoi	2	600	1
42	22	Female	Right	B	08/09/2017	08:25:15	10	TrialPrimaParte	stellata	pieta'	0	525	2
42	22	Female	Right	B	08/09/2017	08:25:15	11	TrialPrimaParte	dipinto	meta	0	471	2
42	22	Female	Right	B	08/09/2017	08:25:15	12	TrialPrimaParte	italiano	itago	2	585	1
42	22	Female	Right	B	08/09/2017	08:25:15	13	TrialPrimaParte	merluzzo	melezo	2	572	1
42	22	Female	Right	B	08/09/2017	08:25:15	14	TrialPrimaParte	camerata	dose	0	506	2
42	22	Female	Right	B	08/09/2017	08:25:15	15	TrialPrimaParte	vigliacco	vilaco	2	535	1
42	22	Female	Right	B	08/09/2017	08:25:15	16	TrialPrimaParte	castigo	nalo	2	639	1
42	22	Female	Right	B	08/09/2017	08:25:15	17	TrialPrimaParte	maestranze	maestra	1	540	2
42	22	Female	Right	B	08/09/2017	08:25:15	18	TrialPrimaParte	ausilio	auliso	2	555	1
42	22	Female	Right	B	08/09/2017	08:25:15	19	TrialPrimaParte	spola	mano	0	425	2
42	22	Female	Right	B	08/09/2017	08:25:15	20	TrialPrimaParte	piccionaia	tatoli	2	527	1
42	22	Female	Right	B	08/09/2017	08:25:15	21	TrialPrimaParte	malanno	tinbe	2	445	1
42	22	Female	Right	B	08/09/2017	08:25:15	22	TrialPrimaParte	pontile	taxi	0	392	1
